hash_function	X	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
hash_string_0	11292	475.094	1620.59	11178	36785.1	38267.5	89073.1	450.598	1995.97	16309.6	360.806	1553.65	12490.4		
hash_string_1	11270	490.786	1612.54	11184	51774.8	54858.7	122160	536.63	1956.33	16949.4	416.613	1529.49	11975	
hash_string_2	11078	483.247	1560.22	11144	539.385	2162.57	16653.8	564.391	1982.39	16548.4	393.436	1483.66	12198.4
hash_string_3	11030	487.104	1481.74	11034	542.149	2040.92	16096.4	571.995	2092.13	16141.5	418.223	1500.88	12419.6
