hash_function	X	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
hash_string_0	2376	108.609	332.545	2235.77	379.227	781.434	4218.9	1133.85	507.153	4101.87	201.296	384.333	3029.84	
hash_string_1	2290	121.848	305.689	2283.87	4000.63	9529.75	15510.1	127.863	511.079	4108.88	185.419	399	3153.85	
hash_string_2	2368	101.46	308.577	2362.04	146.809	569.966	4092.54	142.99	518.494	3979.11	165.573	383	3111.63	
hash_string_3	2360	98.2828	349.005	2331.97	163.81	505.472	4176.78	113.063	464.41	4182.53	166.566	376	2924.31	
