hash_function	X	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
hash_string_0	2846	127.344	378.881	2861.8	883.792	1142.92	4709.89	256.039	487.152	4245.96	173.418	407.746	3061.59	
hash_string_1	2886	135.967	422.464	2923.93	14577.8	22781	51176.6	242.412	501.661	4265.4	175.513	361.81	3046.97	
hash_string_2	2864	155.26	475.406	2913.91	231.935	476.12	4042.75	224.356	466.081	4120.96	161.498	352.306	3059.51	
hash_string_3	2868	106.362	418.076	2857.79	533.019	817.685	4309.61	245.478	490.607	4187.63	211.14	328.282	3174.43	
