hash_function	X	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
hash_string_0	2104	79.644	302.163	2103.97	433.214	868.653	4359.13	1327.31	528.25	3986.29	79.644	395.595	3248.56	
hash_string_1	92.6379	304.176	2202.06	4612.79	10101.9	16526.3	121.079	547.8	4231.68	92.6379	429.849	3078.39	
hash_string_2	2308	102.179	335.811	2174.03	141.002	515.17	4148.09	125.957	492.012	4097.48	102.179	364.621	3012.05	
hash_string_3	2146	112.447	292.673	2075.94	140.043	519.966	4109.72	108.23	529.204	3986.29	112.447	390.494	3084.16	
