hash_function	X	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
hash_string_0	5336	254.624	768.298	5280.01	890.361	1631.32	8919.58	270.252	924.02	7996.47	196.202	690.742	6152.82	
hash_string_1	5296	230.087	716.465	5223.84	13981.9	25260	54991.6	256.374	1066.9	8758.56	180.747	690.448	6143.44	
hash_string_2	5272	258.99	755.698	5450.53	251.069	1042.11	8426.03	275.038	1062.62	8152.63	153.444	736.779	6338.11	
hash_string_3	5176	239.081	716.179	5312.11	305.539	1048.74	8229.24	223.45	1017.85	8283.81	224.241	818.591	6281.82
