hash_function	X	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
hash_string_0	11046	511.824	1592.42	11198	901.485	2432.42	16875	465.532	2058.73	16418.7	294.217	1506.44	12240.4	
hash_string_1	11222	465.276	1574.31	11010	503.626	2037.23	16302.8	490.728	2158.19	16070.8	398.478	1563.38	12253.7	
hash_string_2	11272	469.572	1560.22	11140	539.108	1994.84	15895.8	505.937	2077.81	16636.9	375.511	1653.09	12213.9	
hash_string_3	11258	509.107	1668.59	11272	635.048	2162.94	16494.5	558.344	2076.34	16286	430.967	1473.94	12182.9	
