hash_function	X	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
hash_string_0	1732	79.0157	197.569	1812.01	441.548	619.66	2420.25	1589.57	222.808	2064.2	98.726	180.643	1518.92		
hash_string_1	2166	82.7271	261.676	1858.04	5010.03	7562.59	15198.5	182.205	243.865	2004.9	81.2573	195.539	1622.48	
hash_string_2	1798	68.3233	254.489	1697.95	119.973	235.66	2081.21	119.557	239.934	1952.45	95.9049	173.519	1548.26	
hash_string_3	1886	109.06	298.185	1908.07	120.832	246.255	2053.72	125.95	212.419	2164.56	64.1141	194.676	1470.6
