hash_function	X	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
hash_string_0	14058	582.566	1981.93	14236.6	1273.54	3285.83	21490.4	650.881	2572.93	20853.4	435.308	1911.39	15195.7	
hash_string_1	14162	616.579	1929.32	14248.6	14472.8	26217.3	67273	726.102	2589.44	20779.7	449.873	1929.72	15660.2	
hash_string_2	14202	520.678	2145.49	14040.5	619.749	2548.17	20891.7	681.391	2610.36	20570.3	494.056	1805.84	15596.1	
hash_string_3	14102	643.754	1964.11	14082.5	1126.45	3102.24	21281	619.455	2508.33	20514.3	482.432	1969.43	15383.7
